"","team_api_id","team_long_name","buildUpPlay_sum","chanceCreation_sum","defence_sum","goals"
"133",8614,"Sparta Rotterdam",75,140,90,76
"134",8633,"Real Madrid CF",85,200,170,843
"135",8634,"FC Barcelona",72,175,170,849
"136",8635,"RSC Anderlecht",85,180,190,427
"137",8636,"Inter",110,175,165,496
"138",8639,"LOSC Lille",130,150,180,450
"139",8640,"PSV",60,155,90,652
"140",8649,"Ross County FC",97,136,143,192
"141",8650,"Liverpool",85,180,140,531
"142",8654,"West Ham United",88,151,130,326
"143",8655,"Blackburn Rovers",125,185,160,175
"144",8658,"Birmingham City",140,210,210,75
"145",8659,"West Bromwich Albion",105,195,210,305
"146",8661,"RCD Mallorca",80,140,130,238
"147",8667,"Hull City",125,195,210,144
"148",8668,"Everton",125,175,150,439
"149",8673,"Legia Warszawa",65,170,195,409
"150",8674,"FC Groningen",73,156,90,390
"151",8678,"Bournemouth",140,200,210,45
"152",8682,"Le Mans FC",115,190,200,79
"153",8686,"Roma",100,190,155,530
"154",8689,"FC Lorient",115,120,200,378
"155",8690,"Reggio Calabria",85,130,140,30
"156",8696,"Racing Santander",100,205,150,160
"157",8697,"SV Werder Bremen",110,180,205,423
"158",8721,"VfL Wolfsburg",110,195,155,463
"159",8722,"1. FC Köln",120,165,170,226
"160",9746,"Le Havre AC",100,155,130,30
"161",9747,"En Avant de Guingamp",65,170,125,122
"162",9748,"Olympique Lyonnais",100,185,200,497
"163",9761,"NAC Breda",65,135,90,294
"164",9764,"Gil Vicente FC",87,152,149,110
"165",9768,"Sporting CP",60,170,90,411
"166",9771,"União de Leiria, SAD",100,150,150,85
"167",9772,"SL Benfica",60,170,90,568
"168",9773,"FC Porto",60,180,90,541
"169",9776,"Eintracht Braunschweig",118,180,144,29
"170",9777,"Servette FC",85,175,170,77
"171",9783,"RC Deportivo de La Coruña",60,140,115,241
"172",9788,"Borussia Mönchengladbach",110,185,160,403
"173",9789,"Borussia Dortmund",115,170,177,551
"174",9790,"Hamburger SV",130,200,175,344
"175",9791,"Heracles Almelo",75,133,90,403
"176",9798,"Reading",140,210,200,43
"177",9800,"St. Mirren",140,210,200,257
"178",9803,"Roda JC Kerkrade",65,155,90,343
"179",9804,"Torino",80,140,135,241
